item,"节目名称","收看人数","收看人次","收看时长（小时）","户均访问时长（分钟）","次均访问时长（分钟）","户均访问次数"
263351,"爱情悠悠药草香",2829,40555,"18111.04","384.12","26.79","14.34"
124591,"刺客联盟",2803,4959,"2413.30","51.66","29.20","1.77"
191981,"海军陆战队员3",2799,3957,"2482.97","53.23","37.65","1.41"
331659,"卑鄙的我2之萌宠记",2790,5507,"388.29","8.35","4.23","1.97"
160400,"宠物小精灵",2788,48562,"9027.58","194.28","11.15","17.42"
182504,"金泫雅张贤胜《Trouble Maker》",2788,5406,"323.54","6.96","3.59","1.94"
267223,"猎杀本拉登",2774,3965,"2337.46","50.56","35.37","1.43"
272780,"钢铁苍穹",2769,3857,"2270.40","49.20","35.32","1.39"
281902,"吴莫愁《我相信》",2765,3777,"196.67","4.27","3.12","1.37"
272160,"朵拉美人鱼王国探险",2764,7752,"2980.26","64.69","23.07","2.80"
220066,"老米家的婚事",2758,37375,"14143.40","307.69","22.71","13.55"
188529,"巴啦啦小魔仙大电影",2757,7515,"3571.16","77.72","28.51","2.73"
238216,"羊羊快乐的一年",2755,25457,"3856.07","83.98","9.09","9.24"
341131,"快乐大本营之女神高圆圆遭逼婚",2747,4118,"2479.18","54.15","36.12","1.50"
144805,"王者之剑 3D",2709,4159,"1484.14","32.87","21.41","1.54"
93341,"蜡笔小新第3部",2703,100032,"9437.73","209.49","5.66","37.01"
68407,"双人床条约",2702,4418,"1593.19","35.38","21.64","1.64"
171953,"非常完美",2698,3698,"2058.60","45.78","33.40","1.37"
265220,"死人的复仇",2698,3986,"2176.82","48.41","32.77","1.48"
20345,"特工008",2695,3946,"1577.46","35.12","23.99","1.46"
227471,"Sistar《Alone》",2692,4777,"230.11","5.13","2.89","1.77"
326784,"几宗罪之性与罪",2685,4329,"1848.00","41.30","25.61","1.61"
208994,"儿童歌曲",2684,72260,"2974.98","66.50","2.47","26.92"
94511,"十万个冷笑话",2679,22344,"1559.41","34.93","4.19","8.34"
268339,"《狄仁杰之神都龙王》智勇萌三人组“亦敌亦友亦恋人”",2677,3445,"168.94","3.79","2.94","1.29"
197288,"两个爸爸",2668,36201,"13168.89","296.15","21.83","13.57"
283077,"《极品飞车》电影版预告首发 豪车竞技极速狂飙",2661,3325,"95.68","2.16","1.73","1.25"
263400,"兔小贝儿歌",2632,142139,"4848.18","110.52","2.05","54.00"
19147,"奋斗",2630,4246,"2105.51","48.03","29.75","1.61"
279091,"天台爱情",2626,3931,"2639.32","60.30","40.28","1.50"
261605,"校花诡异事件",2622,4199,"2864.49","65.55","40.93","1.60"
110659,"芭比之梦想豪宅",2612,53489,"2876.13","66.07","3.23","20.48"
287730,"《特殊身份》曝终极预告 众角色浮出水面",2607,3602,"94.37","2.17","1.57","1.38"
124627,"爆笑角斗士",2599,3782,"2339.07","54.00","37.11","1.46"
208031,"在一起",2596,4111,"2788.40","64.45","40.70","1.58"
275963,"世贸中心",2589,3447,"1530.40","35.47","26.64","1.33"
62845,"芭比之公主学校",2571,15168,"4213.97","98.34","16.67","5.90"
186988,"未来战警",2567,3577,"1878.75","43.91","31.51","1.39"
100397,"托马斯和他的朋友们",2564,35009,"3183.52","74.50","5.46","13.65"
124532,"特工绍特",2553,4574,"2673.29","62.83","35.07","1.79"
262461,"寂静岭2",2548,3785,"1975.18","46.51","31.31","1.49"
18882,"万有引力",2547,3958,"1967.27","46.34","29.82","1.55"
124465,"笔仙",2537,3797,"1762.38","41.68","27.85","1.50"
219084,"四戒",2530,3946,"2841.65","67.39","43.21","1.56"
259893,"冰河世纪",2525,4880,"2364.98","56.20","29.08","1.93"
150958,"狂蟒之灾4:血之踪迹",2514,3551,"1994.00","47.59","33.69","1.41"
254986,"《环太平洋》14分钟独家重磅花絮",2514,3333,"470.69","11.23","8.47","1.33"
264295,"艳遇",2512,3702,"1113.74","26.60","18.05","1.47"
147936,"夺宝联盟",2511,3836,"2373.55","56.72","37.13","1.53"
336424,"《西游记之大闹天宫》30秒预告片",2510,3197,"44.37","1.06","0.83","1.27"
300972,"好声音2珍藏版 一起追过的歌曲",2508,3424,"1262.24","30.20","22.12","1.37"
262670,"赤警威龙",2497,3680,"2257.32","54.24","36.80","1.47"
277607,"王菲发微博宣布离婚 李亚鹏：女儿归我",2489,3024,"130.32","3.14","2.59","1.21"
156276,"钢铁侠2",2480,4147,"2514.49","60.83","36.38","1.67"
254210,"巧虎来啦",2460,19152,"3922.41","95.67","12.29","7.79"
334872,"金玉满堂",2455,25045,"10975.26","268.23","26.29","10.20"
279546,"蔡依林《旅程》",2454,3367,"163.68","4.00","2.92","1.37"
222268,"石器时代之百万大侦探",2451,3497,"2275.81","55.71","39.05","1.43"
276175,"女人进城",2451,29386,"12808.93","313.56","26.15","11.99"
334870,"诸神之锤",2443,3134,"1675.54","41.15","32.08","1.28"
229685,"我们都是坏孩子",2430,5704,"2775.69","68.54","29.20","2.35"
274489,"极速秒杀",2429,3472,"1852.23","45.75","32.01","1.43"
216207,"孤岛惊魂2",2424,3566,"1619.82","40.09","27.25","1.47"
331665,"卑鄙的我2之惊魂记",2415,4014,"247.47","6.15","3.70","1.66"
276212,"苹果iPhone5s官方介绍",2409,3381,"172.57","4.30","3.06","1.40"
272290,"老公的春天",2407,23582,"10575.18","263.61","26.91","9.80"
275741,"Crayon Pop《Bar Bar Bar》",2398,4395,"206.48","5.17","2.82","1.83"
331898,"iPad Air官方发布视频",2397,2860,"164.18","4.11","3.44","1.19"
283016,"李某某等五人强奸案一审宣判",2394,3038,"144.95","3.63","2.86","1.27"
19355,"娜娜的玫瑰战争",2390,3884,"2340.63","58.76","36.16","1.63"
64259,"开心闯龙年",2389,6768,"3625.59","91.06","32.14","2.83"
252863,"背水一战",2388,3699,"2772.36","69.66","44.97","1.55"
208030,"危情营救",2376,3933,"2457.05","62.05","37.48","1.66"
80926,"开心大冒险",2375,27762,"3635.00","91.83","7.86","11.69"
128837,"汪峰2010北京首体演唱会",2375,3359,"1399.81","35.36","25.00","1.41"
160080,"特种部队",2373,3712,"2378.46","60.14","38.44","1.56"
209884,"疯狂万圣夜",2371,3062,"1424.90","36.06","27.92","1.29"
261802,"情逆三世缘",2368,24151,"10854.52","275.03","26.97","10.20"
117045,"搞定岳父大人",2366,3633,"2919.94","74.05","48.22","1.54"
47754,"爱情公寓",2361,20016,"6041.33","153.53","18.11","8.48"
96535,"PSY《Gangnam Style》",2359,9971,"599.91","15.26","3.61","4.23"
230318,"战雷",2359,23636,"8917.07","226.80","22.64","10.02"
231146,"超人归来",2345,3507,"2164.17","55.37","37.03","1.50"
227639,"神勇奶爸",2344,3629,"2167.44","55.48","35.84","1.55"
245082,"杀戒",2332,3341,"2367.97","60.93","42.53","1.43"
44748,"铠甲勇士",2324,29870,"4847.99","125.16","9.74","12.85"
225253,"电梯惊魂",2324,3784,"1936.67","50.00","30.71","1.63"
100814,2012,2322,4762,"2401.49","62.05","30.26","2.05"
236740,"《小时代》特辑",2319,3498,"644.10","16.66","11.05","1.51"
247965,"《模特魅影》曝预告",2317,3519,"123.58","3.20","2.11","1.52"
330039,"惊天换日",2315,3105,"2576.75","66.78","49.79","1.34"
279247,"末世殖民地",2312,3292,"2057.49","53.40","37.50","1.42"
184203,"快乐大本营之快乐到家",2311,3624,"2235.02","58.03","37.00","1.57"
62846,"芭比仙子的秘密",2305,14386,"4045.51","105.31","16.87","6.24"
278455,"武战道",2303,18035,"3512.21","91.50","11.68","7.83"
44417,"乐高幻影忍者",2300,36383,"7641.21","199.34","12.60","15.82"
67461,"白蛇传说",2299,3737,"2318.47","60.51","37.22","1.63"
107494,"苏乞儿",2295,3568,"2353.09","61.52","39.57","1.55"
46622,"西游记",2294,10849,"2855.45","74.68","15.79","4.73"
288512,"T-ara《Number 9》",2294,3877,"220.81","5.78","3.42","1.69"
330320,"天天向上",2293,3132,"2175.93","56.94","41.68","1.37"
107496,"武林外传",2291,3199,"1813.16","47.49","34.01","1.40"
172466,"全民超人汉考克",2288,3853,"2421.11","63.49","37.70","1.68"
70036,"第九区",2286,3470,"1632.88","42.86","28.23","1.52"
143047,"名侦探柯南（下部）",2269,27517,"5649.93","149.40","12.32","12.13"
176866,"Sistar19《因为从有到无》",2265,3680,"178.93","4.74","2.92","1.62"
258942,"《我爱灰太狼2》预告",2258,4528,"112.46","2.99","1.49","2.01"
272077,"BoA《The Shadow》",2254,3403,"194.45","5.18","3.43","1.51"
