item,"节目名称",channel,"收看人数","收看人次","收看时长（小时）","户均访问时长（分钟）","次均访问时长（分钟）","户均访问次数"
193347,"101次求婚",华语电影,3299,5247,"3815.46","69.39","43.63","1.59"
244217,"致命黑兰",海外电影,3297,5429,"4442.42","80.84","49.10","1.65"
335343,"Kara《Mister》",音乐,3284,4602,"188.37","3.44","2.46","1.40"
284080,"孩奴",电视剧,3282,34156,"14896.85","272.34","26.17","10.41"
300976,"莫陌",华语电影,3272,4301,"1074.33","19.70","14.99","1.31"
282237,"青春如期",华语电影,3261,5144,"2830.63","52.08","33.02","1.58"
268658,"洛克王国大冒险",少儿,3258,39921,"4999.06","92.06","7.51","12.25"
116233,"敢死队",海外电影,3232,5168,"2808.04","52.13","32.60","1.60"
160174,"哭笑不得",华语电影,3224,4995,"2275.05","42.34","27.33","1.55"
192886,"一代宗师",华语电影,3219,4532,"2786.92","51.95","36.90","1.41"
276359,"决战大洋",华语电影,3186,4287,"1180.68","22.23","16.52","1.35"
331379,"3D动画致敬功夫大师",NULL,3185,4308,"240.90","4.54","3.36","1.35"
244945,"后天",海外电影,3177,5046,"3649.43","68.92","43.39","1.59"
285463,"武工队传奇",电视剧,3175,48117,"21494.49","406.20","26.80","15.15"
269015,"暂告安全",海外电影,3163,4799,"3460.49","65.64","43.27","1.52"
284406,"小两口",电视剧,3162,23743,"11012.26","208.96","27.83","7.51"
288513,"AOA《动摇》",音乐,3162,4612,"232.79","4.42","3.03","1.46"
260458,"中国好声音第2季第5期 台版苏珊大妈踢馆",娱乐综艺,3153,5359,"4096.71","77.96","45.87","1.70"
272087,"神魄",少儿,3151,44163,"8258.31","157.25","11.22","14.02"
160146,"青蜂侠 3D",海外电影,3148,4419,"1189.95","22.68","16.16","1.40"
219117,"李孝利《Bad Girls》",音乐,3146,5123,"321.19","6.13","3.76","1.63"
257391,"入侵华尔街",海外电影,3145,4274,"2198.09","41.93","30.86","1.36"
261875,"猫和老鼠:巨人大冒险",少儿,3140,5556,"2219.80","42.42","23.97","1.77"
92650,"大追捕",华语电影,3138,4601,"2699.09","51.61","35.20","1.47"
255922,"今夜天使降临",电视剧,3120,43578,"18457.30","354.95","25.41","13.97"
