a21, 2014-03-01, 118941, 115380761
a21, 2014-03-02, 116326, 111987942
a21, 2014-03-03, 99877, 88662231
a21, 2014-03-04, 93820, 88204153
a21, 2014-03-05, 88854, 85619092
a21, 2014-03-06, 92461, 90571162
a21, 2014-03-07, 97498, 93759167
a21, 2014-03-08, 119792, 111527083
a21, 2014-03-09, 115364, 109681777
a21, 2014-03-10, 90975, 82619984
a21, 2014-03-11, 96337, 87574768
a21, 2014-03-12, 101311, 91143117
a21, 2014-03-13, 96343, 88352970
a21, 2014-03-14, 94956, 88889086
a21, 2014-03-15, 114015, 108374683
a21, 2014-03-16, 115245, 110206614
a21, 2014-03-17, 93793, 86429437
a21, 2014-03-18, 96580, 86940304
a21, 2014-03-19, 97843, 83030315
a21, 2014-03-20, 101742, 93451475
a21, 2014-03-21, 100825, 92433374
a21, 2014-03-22, 122858, 116207276
a21, 2014-03-23, 116242, 112650303
a21, 2014-03-24, 95865, 91682701
a21, 2014-03-25, 100824, 92651674
a21, 2014-03-26, 101116, 91874140
a21, 2014-03-27, 103799, 93231822
a21, 2014-03-28, 109340, 97328946
a21, 2014-03-29, 130714, 120598239
a21, 2014-03-30, 127091, 120710229
a21, 2014-03-31, 112034, 100189174
a21, 2014-04-01, 103605, 95418778
a21, 2014-04-02, 107434, 97459085
a21, 2014-04-03, 109428, 100365235
a21, 2014-04-04, 109828, 100465238
a21, 2014-04-05, 126639, 122378560
a21, 2014-04-06, 128406, 126687953
a21, 2014-04-07, 131446, 126351390
a21, 2016-04-08, 106895, 100089967
e31, 2014-03-01, 21942, 65241190
e31, 2014-03-02, 20590, 59163752
e31, 2014-03-03, 15964, 47971028
e31, 2014-03-04, 15888, 49227847
e31, 2014-03-05, 15074, 49505509
e31, 2014-03-06, 16602, 52832092
e31, 2014-03-07, 17980, 53628667
e31, 2014-03-08, 21299, 61474062
e31, 2014-03-09, 18923, 56859624
e31, 2014-03-10, 13664, 43744914
e31, 2014-03-11, 15207, 46330243
e31, 2014-03-12, 18162, 53149435
e31, 2014-03-13, 16893, 48022878
e31, 2014-03-14, 17031, 50123569
e31, 2014-03-15, 20554, 60537170
e31, 2014-03-16, 20446, 59586105
e31, 2014-03-17, 15929, 48351578
e31, 2014-03-18, 16308, 48744508
e31, 2014-03-19, 15391, 47642988
e31, 2014-03-20, 16867, 51806257
e31, 2014-03-21, 17548, 51292654
e31, 2014-03-22, 20696, 62279180
e31, 2014-03-23, 20668, 62103173
e31, 2014-03-24, 17085, 49794797
e31, 2014-03-25, 18390, 51730684
e31, 2014-03-26, 17628, 51123914
e31, 2014-03-27, 17998, 51307607
e31, 2014-03-28, 19439, 56776194
e31, 2014-03-29, 22694, 67690190
e31, 2014-03-30, 21764, 65582530
e31, 2014-03-31, 18386, 56909541
e31, 2014-04-01, 18683, 57052849
e31, 2014-04-02, 19714, 57459018
e31, 2014-04-03, 20007, 59291752
e31, 2014-04-04, 21358, 61995480
e31, 2014-04-05, 24923, 74508512
e31, 2014-04-06, 25278, 76905002
e31, 2014-04-07, 24467, 74156002
e31, 2014-04-08, 18620, 60675979
lx755a, 2014-03-01, 34743, 34051462
lx755a, 2014-03-02, 34108, 32453155
lx755a, 2014-03-03, 24096, 21837555
lx755a, 2014-03-04, 23282, 21681747
lx755a, 2014-03-05, 21350, 22095694
lx755a, 2014-03-06, 21663, 21539440
lx755a, 2014-03-07, 24144, 24520075
lx755a, 2014-03-08, 32608, 32162868
lx755a, 2014-03-09, 32905, 32875809
lx755a, 2014-03-10, 22286, 20620088
lx755a, 2014-03-11, 20916, 21083923
lx755a, 2014-03-12, 21635, 21742624
lx755a, 2014-03-13, 20629, 21225281
lx755a, 2014-03-14, 22741, 23134857
lx755a, 2014-03-15, 29747, 30610236
lx755a, 2014-03-16, 30399, 32337376
lx755a, 2014-03-17, 21956, 23848774
lx755a, 2014-03-18, 21760, 23500924
lx755a, 2014-03-19, 22171, 20539393
lx755a, 2014-03-20, 22036, 22781118
lx755a, 2014-03-21, 23160, 25610185
lx755a, 2014-03-22, 31301, 36672545
lx755a, 2014-03-23, 29709, 34011860
lx755a, 2014-03-24, 19927, 24158067
lx755a, 2014-03-25, 21533, 24141808
lx755a, 2014-03-26, 21411, 22872358
lx755a, 2014-03-27, 20944, 22088032
lx755a, 2014-03-28, 25180, 26291856
lx755a, 2014-03-29, 33714, 36643984
lx755a, 2014-03-30, 31341, 35305008
lx755a, 2014-03-31, 24990, 25490832
lx755a, 2014-04-01, 25264, 24676763
lx755a, 2014-04-02, 26705, 24898310
lx755a, 2014-04-03, 25585, 24871865
lx755a, 2014-04-04, 27977, 27701188
lx755a, 2014-04-05, 34291, 37754646
lx755a, 2014-04-06, 36832, 37851227
lx755a, 2014-04-07, 34981, 37743705
lx755a, 2014-04-08, 24253, 26320878
lx750a, 2014-03-01, 296020, 303301302
lx750a, 2014-03-02, 294190, 284237691
lx750a, 2014-03-03, 208210, 189516817
lx750a, 2014-03-04, 202013, 196384697
lx750a, 2014-03-05, 185049, 184874155
lx750a, 2014-03-06, 186485, 193519028
lx750a, 2014-03-07, 210344, 213954292
lx750a, 2014-03-08, 281654, 282478398
lx750a, 2014-03-09, 273180, 275946662
lx750a, 2014-03-10, 185565, 176792836
lx750a, 2014-03-11, 179271, 170969980
lx750a, 2014-03-12, 181094, 182867480
lx750a, 2014-03-13, 171087, 177711312
lx750a, 2014-03-14, 186022, 195676064
lx750a, 2014-03-15, 247496, 275594532
lx750a, 2014-03-16, 237753, 268561496
lx750a, 2014-03-17, 163129, 185528550
lx750a, 2014-03-18, 166720, 179342843
lx750a, 2014-03-19, 173462, 170673470
lx750a, 2014-03-20, 173650, 177897736
lx750a, 2014-03-21, 181263, 192873763
lx750a, 2014-03-22, 252761, 293111806
lx750a, 2014-03-23, 234018, 277347520
lx750a, 2014-03-24, 158201, 186054446
